link,link-href,text
"Modern history","https://en.wikipedia.org/wiki/Modern_history","In 1912, the Republic of China was established and Sun Yat-sen was inaugurated in Nanjing as the first Provisional President. But power in Beijing already had passed to Yuan Shikai, who had effective control of the Beiyang Army, the most powerful military force in China at the time. To prevent civil war and possible foreign intervention from undermining the infant republic, leaders agreed to Army's demand that China be united under a Beijing government. On March 10, in Beijing, Shikai was sworn in as the second Provisional President of the Republic of China."
"Education","https://en.wikipedia.org/wiki/History_of_education","Ashurbanipal (685 – c. 627 BC), a king of the Neo-Assyrian Empire, was proud of his scribal education. His youthful scholarly pursuits included oil divination, mathematics, reading and writing as well as the usual horsemanship, hunting, chariotry, soldierliness, craftsmanship, and royal decorum. During his reign he collected cuneiform texts from all over Mesopotamia, and especially Babylonia, in the library in Nineveh, the first systematically organized library in the ancient Middle East,[12] which survives in part today."
"Money","https://en.wikipedia.org/wiki/History_of_money","In his book Debt: The First 5000 Years, anthropologist David Graeber argues against the suggestion that money was invented to replace barter. The problem with this version of history, he suggests, is the lack of any supporting evidence. His research indicates that ""gift economies"" were common, at least at the beginnings of the first agrarian societies, when humans used elaborate credit systems. Graeber proposes that money as a unit of account was invented the moment when the unquantifiable obligation ""I owe you one"" transformed into the quantifiable notion of ""I owe you one unit of something"". In this view, money emerged first as credit and only later acquired the functions of a medium of exchange and a store of value.[5][6]"
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","While the Gallipoli campaign was a total failure militarily and 8100 Australians died, its memory was all-important. Gallipoli transformed the Australian mind and became an iconic element of the Australian identity and the founding moment of nationhood.[254] Australia's annual holiday to remember its war dead is held on ANZAC Day, 25 April, each year, the date of the first landings at Gallipoli in 1915.[255] The choice of date is often mystifying to non-Australians; it was after all, an allied invasion that ended in military defeat. Bill Gammage has suggested that the choice of 25 April has always meant much to Australians because at Gallipoli, ""the great machines of modern war were few enough to allow ordinary citizens to show what they could do."" In France, between 1916 and 1918, ""where almost seven times as many (Australians) died,... the guns showed cruelly, how little individuals mattered.""[256]"
"Scientific method","https://en.wikipedia.org/wiki/History_of_scientific_method","William Stanley Jevons' The Principles of Science: a treatise on logic and scientific method (1873, 1877) Chapter XII ""The Inductive or Inverse Method"", Summary of the Theory of Inductive Inference, states ""Thus there are but three steps in the process of induction :-"
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","However, there seems little doubt that there was great variation in levels of unemployment. Statistics collected by historian Peter Spearritt show 17.8 per cent of men and 7.9 per cent of women unemployed in 1933 in the comfortable Sydney suburb of Woollahra. In the working class suburb of Paddington, 41.3 per cent of men and 20.7 per cent of women were listed as unemployed.[295] Geoffrey Spenceley argues that apart from variation between men and women, unemployment was also much higher in some industries, such as the building and construction industry, and comparatively low in the public administrative and professional sectors.[296] In country areas, worst hit were small farmers in the wheat belts as far afield as north-east Victoria and Western Australia, who saw more and more of their income absorbed by interest payments.[297]"
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","In the same year, the Miller–Urey experiment demonstrated that basic constituents of protein, simple amino acids, could themselves be built up from simpler molecules in a simulation of primordial processes on Earth. Though many questions remain about the true nature of the origin of life, this was the first attempt by chemists to study hypothetical processes in the laboratory under controlled conditions.[citation needed]"
"Ancient history","https://en.wikipedia.org/wiki/Ancient_history","Migration of Germanic peoples to Britain from what is now northern Germany and southern Scandinavia is attested from the 5th century (e.g. Undley bracteate).[194] Based on Bede's Historia ecclesiastica gentis Anglorum, the intruding population is traditionally divided into Angles, Saxons, and Jutes, but their composition was likely less clear-cut and may also have included ancient Frisians and Franks. The Anglo-Saxon Chronicle contains text that may be the first recorded indications of the movement of these Germanic Tribes to Britain.[195] The Angles and Saxons and Jutes were noted to be a confederation in the Greek Geographia written by Ptolemy in around AD 150."
"Film","https://en.wikipedia.org/wiki/History_of_film","Italian companies also had a strong line in slapstick comedy, with actors like André Deed, known locally as ""Cretinetti"", and elsewhere as ""Foolshead"" and ""Gribouille"", achieving worldwide fame with his almost surrealistic gags."
"Medicine","https://en.wikipedia.org/wiki/History_of_medicine","English physician Thomas Percival (1740–1804) wrote a comprehensive system of medical conduct, Medical Ethics, or a Code of Institutes and Precepts, Adapted to the Professional Conduct of Physicians and Surgeons (1803) that set the standard for many textbooks.[83]"
"History of the Middle East","https://en.wikipedia.org/wiki/History_of_the_Middle_East","The British also established effective control of the Persian Gulf, and the French extended their influence into Lebanon and Syria. In 1912, the Italians seized Libya and the Dodecanese islands, just off the coast of the Ottoman heartland of Anatolia. The Ottomans turned to Germany to protect them from the western powers, but the result was increasing financial and military dependence on Germany."
"History of the Middle East","https://en.wikipedia.org/wiki/History_of_the_Middle_East","Christian [Western Europe] had staged a remarkable economic and demographic recovery in the 11th century since the nadir of its fortunes in the 7th century. The fragmentation of the Middle East allowed joined forces, mainly from England, France and the emerging Holy Roman Empire to enter the region. In 1095, Pope Urban II had responded to pleas from the flagging Byzantine Empire, summoned the European aristocracy to recapture the Holy Land for Christianity, and in 1099 the knights of the First Crusade captured Jerusalem. They founded the Kingdom of Jerusalem, which survived until 1187, when Saladin retook the city. Smaller crusader fiefdoms survived until 1291."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","The gold era led to a long period of prosperity, sometimes called ""the long boom.""[194] This was fed by British investment and the continued growth of the pastoral and mining industries, in addition to the growth of efficient transport by rail, river and sea. By 1891, the sheep population of Australia was estimated at 100 million. Gold production had declined since the 1850s, but in the same year was still worth £5.2 million.[195] Eventually the economic expansion ended; the 1890s were a period of economic depression, felt most strongly in Victoria, and its capital Melbourne."
"English","https://en.wikipedia.org/wiki/English_language","* Conventionally transcribed /r/."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","In 1543 three Portuguese traders accidentally became the first Westerners to reach and trade with Japan. According to Fernão Mendes Pinto, who claimed to be in this journey, they arrived at Tanegashima, where the locals were impressed by firearms that would be immediately made by the Japanese on a large scale.[114]"
"Theatre","https://en.wikipedia.org/wiki/History_of_theatre","By the Early Middle Ages, churches in Europe began staging dramatized versions of particular biblical events on specific days of the year. These dramatizations were included in order to vivify annual celebrations.[34] Symbolic objects and actions – vestments, altars, censers, and pantomime performed by priests – recalled the events which Christian ritual celebrates. These were extensive sets of visual signs that could be used to communicate with a largely illiterate audience. These performances developed into liturgical dramas, the earliest of which is the Whom do you Seek (Quem-Quaeritis) Easter trope, dating from ca. 925.[34] Liturgical drama was sung responsively by two groups and did not involve actors impersonating characters. However, sometime between 965 and 975, Æthelwold of Winchester composed the Regularis Concordia (Monastic Agreement) which contains a playlet complete with directions for performance.[35]"
"Oceania","https://en.wikipedia.org/wiki/History_of_Oceania","Modern archeology, anthropology and linguistic studies confirm widespread Tongan cultural influence ranging widely[16][17] through East 'Uvea, Rotuma, Futuna, Samoa and Niue, parts of Micronesia (Kiribati, Pohnpei), Vanuatu, and New Caledonia and the Loyalty Islands,[18] and while some academics prefer the term ""maritime chiefdom"",[19] others argue that, while very different from examples elsewhere, ...""empire"" is probably the most convenient term.[20]"
"Scientific method","https://en.wikipedia.org/wiki/History_of_scientific_method","Attempts to systematize a scientific method were confronted in the mid-18th century by the problem of induction, a positivist logic formulation which, in short, asserts that nothing can be known with certainty except what is actually observed. David Hume took empiricism to the skeptical extreme; among his positions was that there is no logical necessity that the future should resemble the past, thus we are unable to justify inductive reasoning itself by appealing to its past success. Hume's arguments, of course, came on the heels of many, many centuries of excessive speculation upon excessive speculation not grounded in empirical observation and testing. Many of Hume's radically skeptical arguments were argued against, but not resolutely refuted, by Immanuel Kant's Critique of Pure Reason in the late 18th century.[75] Hume's arguments continue to hold a strong lingering influence and certainly on the consciousness of the educated classes for the better part of the 19th century when the argument at the time became the focus on whether or not the inductive method was valid."
"Medieval","https://en.wikipedia.org/wiki/Medieval_philosophy","The 13th and early 14th centuries are generally regarded as the high period of scholasticism. The early 13th century witnessed the culmination of the recovery of Greek philosophy. Schools of translation grew up in Italy and Sicily, and eventually in the rest of Europe. Scholars such as Adelard of Bath travelled to Sicily and the Arab world, translating works on astronomy and mathematics, including the first complete translation of Euclid’s Elements.[9] Powerful Norman kings gathered men of knowledge from Italy and other areas into their courts as a sign of their prestige.[10] William of Moerbeke's translations and editions of Greek philosophical texts in the middle half of the thirteenth century helped in forming a clearer picture of Greek philosophy, and in particular of Aristotle, than was given by the Arabic versions they had previously relied on, which had distorted or obscured the relation between Platonic and Aristotelian systems of philosophy.[11] His work formed the basis of the major commentaries that followed."
"Age of Enlightenment","https://en.wikipedia.org/wiki/Age_of_Enlightenment","The Enlightenment (also known as the Age of Enlightenment or the Age of Reason;[1] in French: le Siècle des Lumières, lit. 'the Century of Lights'; and in German: Aufklärung, 'Enlightenment')[2] was an intellectual movement which dominated the world of ideas in Europe in the 18th century. The Enlightenment included a range of ideas centered on reason as the primary source of authority and legitimacy, and came to advance ideals like liberty, progress, tolerance, fraternity, constitutional government, and separation of church and state.[3][4] In France, the central doctrines of les Lumières were individual liberty and religious tolerance in opposition to an absolute monarchy and the fixed dogmas of the Roman Catholic Church. The Enlightenment was marked by an emphasis on the scientific method and reductionism along with increased questioning of religious orthodoxy – an attitude captured by the phrase Sapere aude, ""Dare to know"".[5]"
"Physics","https://en.wikipedia.org/wiki/History_of_physics","Nasir al-Din al-Tusi (1201–1274), a Persian astronomer and mathematician who died in Baghdad, authored the Treasury of Astronomy, a remarkably accurate table of planetary movements that reformed the existing planetary model of Roman astronomer Ptolemy by describing a uniform circular motion of all planets in their orbits. This work led to the later discovery, by one of his students, that planets actually have an elliptical orbit. Copernicus later drew heavily on the work of al-Din al-Tusi and his students, but without acknowledgment.[10] The gradual chipping away of the Ptolemaic system paved the way for the revolutionary idea that the Earth actually orbited the Sun (heliocentrism)."
"In the Middle Ages","https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages","In 1348, the Black Death and other disasters sealed a sudden end to the previous period of massive philosophic and scientific development. Yet, the rediscovery of ancient texts was improved after the Fall of Constantinople in 1453, when many Byzantine scholars had to seek refuge in the West. Meanwhile, the introduction of printing was to have great effect on European society. The facilitated dissemination of the printed word democratized learning and allowed a faster propagation of new ideas. New ideas also helped to influence the development of European science at this point: not least the introduction of Algebra. These developments paved the way for the Scientific Revolution, which may also be understood as a resumption of the process of scientific inquiry, halted at the start of the Black Death."
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","Later the Spanish territory would prove to include huge areas of the continental mainland of North and South America, though Portuguese-controlled Brazil would expand across the line, and settlements by other European powers ignored the treaty."
"North America","https://en.wikipedia.org/wiki/History_of_North_America","The early Cold War era saw the United States as the most powerful nation in a Western coalition of which Mexico and Canada were also a part. At home, the United States witnessed convulsive change especially in the area of race relations. In Canada this was mirrored by the Quiet Revolution and the emergence of Quebec nationalism."
"Linguistics","https://en.wikipedia.org/wiki/History_of_linguistics","Linguistics in ancient India derives its impetus from the need to correctly recite and interpret the Vedic texts. Already in the oldest Indian text, the Rigveda, vāk (""speech"") is deified. By 1200 BCE,[3] the oral performance of these texts becomes standardized, and treatises on ritual recitation suggest splitting up the Sanskrit compounds into words, stems, and phonetic units, providing an impetus for morphology and phonetics."
"Ancient Rome","https://en.wikipedia.org/wiki/Ancient_Rome","The Roman poet Virgil recounted this legend in his classical epic poem the Aeneid. In the Aeneid, the Trojan prince Aeneas is destined by the gods in his enterprise of founding a new Troy. In the epic, the women also refused to go back to the sea, but they were not left on the Tiber. After reaching Italy, Aeneas, who wanted to marry Lavinia, was forced to wage war with her former suitor, Turnus. According to the poem, the Alban kings were descended from Aeneas, and thus Romulus, the founder of Rome, was his descendant."
"Theories/sociology","https://en.wikipedia.org/wiki/Sociology_of_the_history_of_science","The Academia Secretorum Naturae was replaced by the Accademia dei Lincei, which was founded in Rome in 1603. The Lincei included Galileo as a member, but failed upon his condemnation in 1633. The Accademia del Cimento, Florence 1657, lasted 10 years. The Royal Society of London, 1660 to the present day, brought together a diverse collection of scientists to discuss theories, conduct experiments, and review each other's work. The Académie des Sciences was created as an institution of the government of France 1666, meeting in the King's library. The Akademie der Wissenschaften began in Berlin 1700."
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","In 1897, J. J. Thomson discovered the electron using the cathode ray tube. In 1898, Wilhelm Wien demonstrated that canal rays (streams of positive ions) can be deflected by magnetic fields, and that the amount of deflection is proportional to the mass-to-charge ratio. This discovery would lead to the analytical technique known as mass spectrometry in 1912.[88]"
"Music","https://en.wikipedia.org/wiki/History_of_music",""
"Africa","https://en.wikipedia.org/wiki/History_of_Africa","In 760 BCE, the Kushites were expelled from Egypt by iron-wielding Assyrians. Later, the administrative capital was moved from Napata to Meröe, developing into a new Nubian culture. Initially Meroites were highly Egyptianized, but they subsequently began to take on distinctive features. Nubia became a center of iron-making and cotton cloth manufacturing. Egyptian writing was replaced by the Meroitic alphabet. The lion god Apedemak was added to the Egyptian pantheon of gods. Trade links to the Red Sea increased, linking Nubia with Mediterranean Greece. Its architecture and art diversified, with pictures of lions, ostriches, giraffes, and elephants. Eventually with the rise of Aksum, Nubia's trade links were broken and it suffered environmental degradation from the tree cutting required for iron production. In 350 CE, the Aksumite king Ezana brought Meröe to an end.[45]"
"Iron Age","https://en.wikipedia.org/wiki/Iron_Age",""
"Psychology","https://en.wikipedia.org/wiki/History_of_psychology","Early psychology was regarded as the study of the soul (in the Christian sense of the term).[21] The modern philosophical form of psychology was heavily influenced by the works of René Descartes (1596–1650), and the debates that he generated, of which the most relevant were the objections to his Meditations on First Philosophy (1641), published with the text. Also important to the later development of psychology were his Passions of the Soul (1649) and Treatise on Man (completed in 1632 but, along with the rest of The World, withheld from publication after Descartes heard of the Catholic Church's condemnation of Galileo; it was eventually published posthumously, in 1664)."
"Bronze Age","https://en.wikipedia.org/wiki/Bronze_Age","The Altai Mountains in what is now southern Russia and central Mongolia have been identified as the point of origin of a cultural enigma termed the Seima-Turbino Phenomenon.[28] It is conjectured that changes in climate in this region around 2000 BC and the ensuing ecological, economic and political changes triggered a rapid and massive migration westward into northeast Europe, eastward into China and southward into Vietnam and Thailand [29] across a frontier of some 4,000 miles.[28] This migration took place in just five to six generations and led to peoples from Finland in the west to Thailand in the east employing the same metal working technology and, in some areas, horse breeding and riding.[28] It is further conjectured that the same migrations spread the Uralic group of languages across Europe and Asia: some 39 languages of this group are still extant, including Hungarian, Finnish and Estonian.[28] However, recent genetic testings of sites in south Siberia and Kazakhstan (Andronovo horizon) would rather support a spreading of the bronze technology via Indo-European migrations eastwards, as this technology was well known for quite a while in western regions.[30][31]"
"History of India","https://en.wikipedia.org/wiki/History_of_India","From the fifth century to the thirteenth, Śrauta sacrifices declined, and initiatory traditions of Buddhism, Jainism or more commonly Shaivism, Vaishnavism and Shaktism expanded in royal courts.[3] This period produced some of India's finest art, considered the epitome of classical development, and the development of the main spiritual and philosophical systems which continued to be in Hinduism, Buddhism and Jainism."
"Geography","https://en.wikipedia.org/wiki/History_of_geography","George of Cyprus is known for his Descriptio orbis Romani (Description of the Roman world), written in the decade 600–610.[34] Beginning with Italy and progressing counterclockwise including Africa, Egypt and the western Middle East, George lists cities, towns, fortresses and administrative divisions of the Byzantine or Eastern Roman Empire."
"Ancient Rome","https://en.wikipedia.org/wiki/Ancient_Rome","Nerva died in 98 AD and his successor and heir was the general Trajan. Trajan was born in a non-patrician family from Hispania and his preeminence emerged in the army, under Domitian. He is the second of the Five Good Emperors, the first being Nerva."
"Modern history","https://en.wikipedia.org/wiki/Modern_history","Important events in the early modern period include:"
"Space Age","https://en.wikipedia.org/wiki/Space_Age","The Space Age might also be considered to have begun much earlier than October 4, 1957, because in June 1944, a German V-2 rocket became the first man-made object to enter space, albeit only briefly.[13] Some even considered that the Space Age started in March 1926, when American rocket pioneer Robert H. Goddard launched the world's first liquid fuel rocket, though his rocket did not reach the outer space.[14]"
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","A major advance was the introduction of the caravel in the mid-15th century, a small ship able to sail windward more than any other in Europe at the time.[48] Evolved from fishing ships designs, they were the first that could leave the coastal cabotage navigation and sail safely on the open Atlantic. For celestial navigation the Portuguese used the Ephemerides, which experienced a remarkable diffusion in the 15th century. These were astronomical charts plotting the location of the stars over a distinct period of time. Published in 1496 by the Jewish astronomer, astrologer, and mathematician Abraham Zacuto, the Almanach Perpetuum included some of these tables for the movements of stars.[49] These tables revolutionized navigation, allowing the calculation of latitude. Exact longitude, however, remained elusive, and mariners struggled to determine it for centuries.[50][51] Using the caravel, systematic exploration continued ever more southerly, advancing on average one degree a year.[52] Senegal and Cape Verde Peninsula were reached in 1445 and in 1446, Álvaro Fernandes pushed on almost as far as present-day Sierra Leone."
"Ancient Greece","https://en.wikipedia.org/wiki/Ancient_Greece","A playwright named Aeschylus changed Western literature forever when he introduced the ideas of dialogue and interacting characters to playwriting. In doing so, he essentially invented ""drama"": his Oresteia trilogy of plays is seen as his crowning achievement. Other refiners of playwriting were Sophocles and Euripides. Sophocles is credited with skillfully developing irony as a literary technique, most famously in his play Oedipus the King. Euripides, conversely, used plays to challenge societal norms and mores—a hallmark of much of Western literature for the next 2,300 years and beyond—and his works such as Medea, The Bacchae and The Trojan Women are still notable for their ability to challenge our perceptions of propriety, gender, and war. Aristophanes, a comic playwright, defines and shapes the idea of comedy almost as Aeschylus had shaped tragedy as an art form—Aristophanes' most famous plays include the Lysistrata and The Frogs."
"Architecture","https://en.wikipedia.org/wiki/History_of_architecture","In Europe, long houses built from wattle and daub were constructed. Elaborate tombs for the dead were also built. These tombs are particularly numerous in Ireland, where there are many thousands still in existence. Neolithic people in the British Isles built long barrows and chamber tombs for their dead and causewayed camps, henges flint mines and cursus monuments."
"Ancient Egypt","https://en.wikipedia.org/wiki/Ancient_Egypt","Hieroglyphic writing dates from c. 3000 BC, and is composed of hundreds of symbols. A hieroglyph can represent a word, a sound, or a silent determinative; and the same symbol can serve different purposes in different contexts. Hieroglyphs were a formal script, used on stone monuments and in tombs, that could be as detailed as individual works of art. In day-to-day writing, scribes used a cursive form of writing, called hieratic, which was quicker and easier. While formal hieroglyphs may be read in rows or columns in either direction (though typically written from right to left), hieratic was always written from right to left, usually in horizontal rows. A new form of writing, Demotic, became the prevalent writing style, and it is this form of writing—along with formal hieroglyphs—that accompany the Greek text on the Rosetta Stone.[135]"
"Film","https://en.wikipedia.org/wiki/History_of_film","During Japanese cinema's 'Golden Age' of the 1950s, successful films included Rashomon (1950), Seven Samurai (1954) and The Hidden Fortress (1958) by Akira Kurosawa, as well as Yasujirō Ozu's Tokyo Story (1953) and Ishirō Honda's Godzilla (1954).[36] These films have had a profound influence on world cinema. In particular, Kurosawa's Seven Samurai has been remade several times as Western films, such as The Magnificent Seven (1960) and Battle Beyond the Stars (1980), and has also inspired several Bollywood films, such as Sholay (1975) and China Gate (1998). Rashomon was also remade as The Outrage (1964), and inspired films with ""Rashomon effect"" storytelling methods, such as Andha Naal (1954), The Usual Suspects (1995) and Hero (2002). The Hidden Fortress was also the inspiration behind George Lucas' Star Wars (1977). Other famous Japanese filmmakers from this period include Kenji Mizoguchi, Mikio Naruse, Hiroshi Inagaki and Nagisa Oshima.[34] Japanese cinema later became one of the main inspirations behind the New Hollywood movement of the 1960s to 1980s."
"Linguistics","https://en.wikipedia.org/wiki/History_of_linguistics","Bhartrihari around 500 CE introduced a philosophy of meaning with his sphoṭa doctrine."
"Space Age","https://en.wikipedia.org/wiki/Space_Age","The Space Age is a time period encompassing the activities related to the Space Race, space exploration, space technology, and the cultural developments influenced by these events. The Space Age is generally considered to have begun with Sputnik (1957)."
"English","https://en.wikipedia.org/wiki/English_language","Cohesion between sentences is achieved through the use of deictic pronouns as anaphora (e.g. that is exactly what I mean where that refers to some fact known to both interlocutors, or then used to locate the time of a narrated event relative to the time of a previously narrated event).[197] Discourse markers such as oh, so or well, also signal the progression of ideas between sentences and help to create cohesion. Discourse markers are often the first constituents in sentences. Discourse markers are also used for stance taking in which speakers position themselves in a specific attitude towards what is being said, for example, no way is that true! (the idiomatic marker no way! expressing disbelief), or boy! I'm hungry (the marker boy expressing emphasis). While discourse markers are particularly characteristic of informal and spoken registers of English, they are also used in written and formal registers.[198]"
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry","In 1913, Niels Bohr, a Danish physicist, introduced the concepts of quantum mechanics to atomic structure by proposing what is now known as the Bohr model of the atom, where electrons exist only in strictly defined circular orbits around the nucleus similar to rungs on a ladder. The Bohr Model is a planetary model in which the negatively charged electrons orbit a small, positively charged nucleus similar to the planets orbiting the Sun (except that the orbits are not planar) - the gravitational force of the solar system is mathematically akin to the attractive Coulomb (electrical) force between the positively charged nucleus and the negatively charged electrons."
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","After the relative peace of most of the 19th century, the rivalry between European powers, compounded by a rising nationalism among ethnic groups, exploded in August 1914, when the First World War started. Over 65 million European soldiers were mobilised from 1914 to 1918; 20 million soldiers and civilians died, and 21 million were seriously wounded.[106] On one side were Germany, Austria-Hungary, the Ottoman Empire and Bulgaria (the Central Powers/Triple Alliance), while on the other side stood Serbia and the Triple Entente – the coalition of France, Britain and Russia, which were joined by Italy in 1915, Romania in 1916 and by the United States in 1917. The Western Front involved especially brutal combat without any territorial gains by either side. Single battles like Verdun and the Some killed hundreds of thousands of men while leaving the stalemate unchanged. Heavy artillery and machine guns caused most of the casualties, supplemented by poison gas. Czarist Russia collapsed in the February Revolution of 1917 and Germany claimed victory on the Eastern Front. After eight months of liberal rule, the October Revolution brought Vladimir Lenin and the Bolsheviks to power, leading to the creation of the Soviet Union in place of the disintegrated Russian Empire. With American entry into the war in 1917 on the Allied side, and the failure of Germany's spring 1918 offensive, Germany had run out of manpower, while an average of 10,000 American troops were arriving in France every day in the summer of 1918. Germany's allies, Austria-Hungary and the Ottoman Empire, surrendered and dissolved, followed by Germany on 11 November 1918.[107][108] The victors forced Germany to assume responsibility for the conflict and pay war reparations."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","In 1973, businessman Ken Myer commented; ""we like to think we have a distinct style of our own. We have outgrown a lot of our inadequacies.... There was a time when an interest in the arts threw doubts on one's masculinity.""[389] In 1973, historian Geoffrey Serle, in his 1973 From Deserts the Prophets Come, argued that while Australia had finally arrived at ""mature nationhood,""[390] until that time that the ""most important study of Australia had been found in creative treatments"", rather than academic study at universities and schools.[391]"
"Materials science","https://en.wikipedia.org/wiki/History_of_materials_science","In the 11th century, Damascus steel is developed in the Middle East. In the 15th century, Johann Gutenberg develops type metal alloy and Angelo Barovier invents cristallo, a clear soda-based glass."
"Africa","https://en.wikipedia.org/wiki/History_of_Africa","Most of Southern Africa was occupied by pygmy peoples and Khoisan who engaged in hunting and gathering. Some of the oldest rock art was produced by them.[18]"
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","The Immigration Restriction Act 1901 was one of the first laws passed by the new Australian parliament. This centrepiece of the 'White Australia Policy' aimed to restrict immigration from Asia (especially China), where the population was vastly greater and the standard of living vastly lower and was similar to measures taken in other settler societies such as the United States, Canada and New Zealand.[229] It found strong support in the national parliament, arguments ranging from economic protection to simple racism.[230] The law permitted a dictation test in any European language to be used to in effect exclude non-""white"" immigrants. While the law allowed for the use of any European language, the English version was standardised and became known as the ""Stewart"" test after the Federal MP Stewart Parnaby who originally penned the exam.[231] The Labor Party wanted to protect ""white"" jobs and pushed for clearer restrictions. A few politicians spoke of the need to avoid hysterical treatment of the question. MP Bruce Smith said he had ""no desire to see low-class Indians, Chinamen or Japanese...swarming into this country... But there is obligation...not (to) unnecessarily offend the educated classes of those nations"".[232] Donald Cameron[clarification needed], a member from Tasmania, expressed a rare note of dissension in the parliament, saying that no race on earth had been ""treated in a more shameful manner than have the Chinese..."".[233] Outside parliament, Australia's first Catholic cardinal, Patrick Francis Moran was politically active and denounced anti-Chinese legislation as ""unchristian"".[234] The popular press mocked the cardinal's position and the small European population of Australia generally supported the legislation and remained fearful of being overwhelmed by an influx of non-British migrants from the vastly different cultures of the highly populated empires to Australia's north."
"Music","https://en.wikipedia.org/wiki/History_of_music","To the right are some music samples."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","Australia embraced the new technologies of transport and communication. Coastal sailing ships were finally abandoned in favour of steam, and improvements in rail and motor transport heralded dramatic changes in work and leisure. In 1918 there were 50,000 cars and lorries in the whole of Australia. By 1929 there were 500,000.[274] The stage coach company Cobb and Co, established in 1853, finally closed in 1924.[275] In 1920, the Queensland and Northern Territory Aerial Service (to become the Australian airline Qantas) was established.[276] The Reverend John Flynn, founded the Royal Flying Doctor Service, the world's first air ambulance in 1928.[277] Daredevil pilot, Sir Charles Kingsford Smith pushed the new flying machines to the limit, completing a round Australia circuit in 1927 and in 1928 traversed the Pacific Ocean, via Hawaii and Fiji from the US to Australia in the aircraft Southern Cross. He went on to global fame and a series of aviation records before vanishing on a night flight to Singapore in 1935.[278]"
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","Beginning in 2014, Ukraine has been in a state of revolution and unrest with two breakaway regions (Donetsk and Lugansk) attempting join Russia as full federal subjects. (See War in Donbass.) On 16 March, a referendum was held in Crimea leading to the de facto secession of Crimea and its largely internationally unrecognized annexation to the Russian Federation as the Republic of Crimea."
"History of the Middle East","https://en.wikipedia.org/wiki/History_of_the_Middle_East","Due to many of the frantic events of the late 1970s in the Middle East it culimated in the Iran–Iraq War between neighbouring Iran and Iraq. The war, started by Iraq, who invaded Iranian Khuzestan in 1980 at the behest of the latter's chaotic state of country due to the 1979 Islamic Revolution, eventually turned into a stalemate with hundreds of thousands of dead on both sides."
"Economics","https://en.wikipedia.org/wiki/History_of_economic_thought","Jeremy Bentham (1748–1832) was perhaps the most radical thinker of his time, and developed the concept of utilitarianism. Bentham was an atheist, a prison reformer, animal rights activist, believer in universal suffrage, freedom of speech, free trade and health insurance at a time when few dared to argue for any of these ideas. He was schooled rigorously from an early age, finishing university and being called to the bar at 18. His first book, A Fragment on Government (1776), published anonymously, was a trenchant critique of William Blackstone's Commentaries on the Laws of England. This gained wide success until it was found that the young Bentham, and not a revered Professor had penned it. In An Introduction to the Principles of Morals and Legislation (1789) Bentham set out his theory of utility.[39][40]"
"English","https://en.wikipedia.org/wiki/English_language","English has undergone many historical sound changes, some of them affecting all varieties, and others affecting only a few. Most standard varieties are affected by the Great Vowel Shift, which changed the pronunciation of long vowels, but a few dialects have slightly different results. In North America, a number of chain shifts such as the Northern Cities Vowel Shift and Canadian Shift have produced very different vowel landscapes in some regional accents."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","According to the historian Geoffrey Blainey, in Australia during the colonial period: ""In a thousand isolated places there were occasional shootings and spearings. Even worse, smallpox, measles, influenza and other new diseases swept from one Aboriginal camp to another ... The main conqueror of Aborigines was to be disease and its ally, demoralisation"".[40]"
"Chemistry","https://en.wikipedia.org/wiki/History_of_chemistry",""
"Age of Discovery","https://en.wikipedia.org/wiki/Age_of_Discovery","A large fleet of new junk ships was prepared for these international diplomatic expeditions. The largest of these junks—that the Chinese termed bao chuan (treasure ships)—may have measured 121 meters (400 feet) stem to stern, and thousands of sailors were involved. The first expedition departed in 1405. At least seven well-documented expeditions were launched, each bigger and more expensive than the last. The fleets visited Arabia, East Africa, India, Malay Archipelago and Thailand (at the time called Siam), exchanging goods along the way.[27] They presented gifts of gold, silver, porcelain and silk; in return, received such novelties as ostriches, zebras, camels, ivory and giraffes.[28][29] After the emperor's death, Zheng He led a final expedition departing from Nanking in 1431 and returning to Beijing in 1433. It is very likely that this last expedition reached as far as Madagascar. The travels were reported by Ma Huan, a Muslim voyager and translator who accompanied Zeng He on three of the seven expeditions, his account published as ""Ying-Yai Sheng-Lam"" (Overall Survey of the Ocean's Shores) (1433)[30]"
