link,link-href,text,1
Antarctica,https://en.wikipedia.org/wiki/History_of_Antarctica,"After the North Magnetic Pole be locate in 1831, explorers and scientists begin look for the South Magnetic Pole. One of the explorers, James Clark Ross, a British naval officer, identify its approximate location, but be unable to reach it on his trip in 1841. Commanding the British ships Erebus and Terror, he brave the pack ice and approach what be now know as the Ross Ice Shelf, a massive floating ice shelf over 100 feet( 30 m) high. His expedition sail eastward along the southern Antarctic coast discovering mountains which be since name after his ships: Mount Erebus, the most active volcano on Antarctica, and Mount Terror.[ 10]",0
Bronze Age,https://en.wikipedia.org/wiki/Bronze_Age,"The bronzes of the Western Zhou Dynasty document large portions of history not found in the extant texts that were often composed by persons of varying rank and possibly even social class. Further, the medium of cast bronze lends the record they preserve a permanence not enjoyed by manuscripts.[45] These inscriptions can commonly be subdivided into four parts: a reference to the date and place, the naming of the event commemorated, the list of gifts given to the artisan in exchange for the bronze, and a dedication.[46] The relative points of reference these vessels provide have enabled historians to place most of the vessels within a certain time frame of the Western Zhou period, allowing them to trace the evolution of the vessels and the events they record.[47]",1
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"Early medical traditions include those of Babylon, China, Egypt and India. The Greeks go even further, introduce the concepts of medical diagnosis, prognosis, and advance medical ethics. The Hippocratic Oath, still take( although significantly change from the original) by doctors up to today, be write in Greece in the 5th century BCE. In the medieval age, surgical practices inherit from the ancient masters be improve and then systematize in Rogerius's The Practice of Surgery. Universities begin systematic training of physicians around the years 1220 in Italy. During the Renaissance, understanding of anatomy improve, and the microscope be invent.",0
Renaissance,https://en.wikipedia.org/wiki/Renaissance,"After the marriage in 1476 of King Matthias to Beatrice of Naples, Buda become one of the most important artistic centres of the Renaissance north of the Alps.[ 93] The most important humanists live in Matthias' court be Antonio Bonfini and the famous Hungarian poet Janus Pannonius.[ 93] András Hess set up a printing press in Buda in 1472. Matthias Corvinus's library, the Bibliotheca Corviniana, be Europe's greatest collections of secular books: historical chronicles, philosophic and scientific works in the 15th century. His library be second only in size to the Vatican Library.( However, the Vatican Library mainly contain Bibles and religious materials.)[ 94]",0
Architecture,https://en.wikipedia.org/wiki/History_of_architecture,"Around 1900 a number of architects around the world begin develop new architectural solutions to integrate traditional precedents with new social demands and technological possibilities. The work of Victor Horta and Henry van de Velde in Brussels, Antoni Gaudí in Barcelona, Otto Wagner in Vienna and Charles Rennie Mackintosh in Glasgow, among many others, can be see as a common struggle between old and new.",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,,0
Biology,https://en.wikipedia.org/wiki/History_of_biology,"Resistance to the growing influence of molecular biology was especially evident in evolutionary biology. Protein sequencing had great potential for the quantitative study of evolution (through the molecular clock hypothesis), but leading evolutionary biologists questioned the relevance of molecular biology for answering the big questions of evolutionary causation. Departments and disciplines fractured as organismic biologists asserted their importance and independence: Theodosius Dobzhansky made the famous statement that ""nothing in biology makes sense except in the light of evolution"" as a response to the molecular challenge. The issue became even more critical after 1968; Motoo Kimura's neutral theory of molecular evolution suggested that natural selection was not the ubiquitous cause of evolution, at least at the molecular level, and that molecular evolution might be a fundamentally different process from morphological evolution. (Resolving this ""molecular/morphological paradox"" has been a central focus of molecular evolution research since the 1960s.)[78]",1
South America,https://en.wikipedia.org/wiki/History_of_South_America,"Eventually the natives and the Spaniards interbreed, form a Mestizo class. Mestizos and the Native Americans be often force to pay unfair taxes to the Spanish government( although all subjects pay taxes) and be punish harshly for disobey their laws. Many native artworks be consider pagan idols and destroy by Spanish explorers. This include a great number of gold and silver sculptures, which be melt down before transport to Europe.[ citation need]",0
Linguistics,https://en.wikipedia.org/wiki/History_of_linguistics,It be only in the late 19th century that the Neogrammarian approach of Karl Brugmann and others introduce a rigid notion of sound law.,0
Theatre,https://en.wikipedia.org/wiki/History_of_theatre,"As the Western Roman Empire fell into decay through the 4th and 5th centuries, the seat of Roman power shift to Constantinople and the Eastern Roman Empire, today call the Byzantine Empire. While survive evidence about Byzantine theatre be slight, exist records show that mime, pantomime, scenes or recitations from tragedies and comedies, dances, and other entertainments be very popular. Constantinople have two theatres that be in use as late as the 5th century.[ 32] However, the true importance of the Byzantines in theatrical history be their preservation of many classical Greek texts and the compilation of a massive encyclopedia call the Suda, from which be derive a large amount of contemporary information on Greek theatre.",0
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"In the early 15th century, the countries of the Iberian peninsula begin to sponsor exploration beyond the boundaries of Europe. Prince Henry the Navigator of Portugal( d. 1460) send expeditions that discover the Canary Islands, the Azores, and Cape Verde during his lifetime. After his death, exploration continue; Bartolomeu Dias( d. 1500) go around the Cape of Good Hope in 1486 and Vasco da Gama( d. 1524) sail around Africa to India in 1498.[ 308] The combined Spanish monarchies of Castile and Aragon sponsor the voyage of exploration by Christopher Columbus( d. 1506) in 1492 that discover the Americas.[ 309] The English crown under Henry VII sponsor the voyage of John Cabot( d. 1498) in 1497, which land on Cape Breton Island.[ 310]",0
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"In 1789 the Mutiny on the Bounty against William Bligh led to several of the mutineers escaping the Royal Navy and settling on Pitcairn Islands, which later became a British colony. Britain also established colonies in Australia in 1788, New Zealand in 1840 and Fiji in 1872, with much of Oceania becoming part of the British Empire.",1
Money,https://en.wikipedia.org/wiki/History_of_money,"These bills could also be use as a form of payment by the seller to make additional purchases from his own suppliers. Thus, the bills – an early form of credit – become both a medium of exchange and a medium for storage of value. Like the loans make by the Egyptian grain banks, this trade credit become a significant source for the creation of new money. In England, bills of exchange become an important form of credit and money during last quarter of the 18th century and the first quarter of the 19th century before banknotes, checks and cash credit lines be widely available.[ 76]",0
Dance,https://en.wikipedia.org/wiki/History_of_dance,"Dance history is difficult to access because dance does not often leave behind clearly identifiable physical artifacts that last over millennia, such as stone tools, hunting implements or cave paintings. It is not possible to identify with exact precision when dance became part of human culture.",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"The early 1960s also signal the start of major clashes between the Hutus and the Tutsis in Rwanda and Burundi. In 1994 this culminate in the Rwandan Genocide, a conflict in which over 800,000 people be murder.[ 225]",0
Renaissance,https://en.wikipedia.org/wiki/Renaissance,"Historian and political philosopher Quentin Skinner points out that Otto of Freising (c. 1114–1158), a German bishop visiting north Italy during the 12th century, noticed a widespread new form of political and social organization, observing that Italy appeared to have exited from Feudalism so that its society was based on merchants and commerce. Linked to this was anti-monarchical thinking, represented in the famous early Renaissance fresco cycle Allegory of Good and Bad Government in Siena by Ambrogio Lorenzetti (painted 1338–1340), whose strong message is about the virtues of fairness, justice, republicanism and good administration. Holding both Church and Empire at bay, these city republics were devoted to notions of liberty. Skinner reports that there were many defences of liberty such as the Matteo Palmieri (1406–1475) celebration of Florentine genius not only in art, sculpture and architecture, but ""the remarkable efflorescence of moral, social and political philosophy that occurred in Florence at the same time"".[31]",1
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"Alfred Marshall( 1842–1924) be also credit with an attempt to put economics on a more mathematical footing. The first professor of economics at the University of Cambridge, his 1890 work Principles of Economics[ 55] abandon the term `` political economy'' for his favorite `` economics''. He view math as a way to simplify economic reasoning, although he have reservations as reveal in a letter to his student Arthur Cecil Pigou:[ 40][ 56]",0
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"The construction of cathedrals and castles advance building technology, lead to the development of large stone buildings. Ancillary structures include new town halls, houses, bridges, and tithe barns.[ 232] Shipbuilding improve with the use of the rib and plank method rather than the old Roman system of mortise and tenon. Other improvements to ships include the use of lateen sails and the stern-post rudder, both of which increase the speed at which ships could be sail.[ 233]",0
English,https://en.wikipedia.org/wiki/English_language,"The increase use of the English language globally have have an effect on other languages, lead to some English words be assimilate into the vocabularies of other languages. This influence of English have lead to concerns about language death,[ 127] and to claims of linguistic imperialism,[ 128] and have provoke resistance to the spread of English; however the number of speakers continue to increase because many people around the world think that English provide them with opportunities for better employment and improved lives.[ 129]",0
In early cultures,https://en.wikipedia.org/wiki/History_of_science_in_early_cultures,"Scientific thought in Classical Antiquity becomes tangible from the 6th century BC in pre-Socratic philosophy (Thales, Pythagoras). In c. 385 BC, Plato founded the Academy. With Plato's student Aristotle begins the ""scientific revolution"" of the Hellenistic period culminating in the 3rd to 2nd centuries with scholars such as Eratosthenes, Euclid, Aristarchus of Samos, Hipparchus and Archimedes.",1
English,https://en.wikipedia.org/wiki/English_language,"Passive constructions also use auxiliary verbs. A passive construction rephrases an active construction in such a way that the object of the active phrase becomes the subject of the passive phrase, and the subject of the active phrase is either omitted or demoted to a role as an oblique argument introduced in a prepositional phrase. They are formed by using the past participle either with the auxiliary verb to be or to get, although not all varieties of English allow the use of passives with get. For example, putting the sentence she sees him into the passive becomes he is seen (by her), or he gets seen (by her).[192]",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Scholars have argued that warfare was absent throughout much of human's prehistoric past, and that it emerged after sedentism, farming, and more complex political systems arose.[12] However, the findings at the site of Nataruk in Turkana County, Kenya, where the remains of 27 individuals who died as the result of an intentional attack by another group 10,000 years ago, show that inter-group conflict has a much longer history.[13]",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"The Ghana Empire grew wealthy by taxing the trans-Saharan trade that linked Tiaret and Sijilmasa to Aoudaghost. Ghana controlled access to the goldfields of Bambouk, southeast of Koumbi Saleh. A percentage of salt and gold going through its territory was taken. The empire was not involved in production.[167]",1
Linguistics,https://en.wikipedia.org/wiki/History_of_linguistics,"As in ancient Greece, early Chinese thinkers be concern with the relationship between names and reality. Confucius( 6th century BCE) famously emphasize the moral commitment implicit in a name,( zhengming) state that the moral collapse of the pre-Qin be a result of the failure to rectify behaviour to meet the moral commitment inherent in names: `` Good government consist in the ruler be a ruler, the minister be a minister, the father be a father, and the son be a son ... If names be not correct, language be not in accordance with the truth of things.''( Analects 12.11,13.3).",0
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"In 1533, Pizarro invaded Cuzco with indigenous troops and wrote to King Charles I: ""This city is the greatest and the finest ever seen in this country or anywhere in the Indies ... it is so beautiful and has such fine buildings that it would be remarkable even in Spain."" After the Spanish had sealed the conquest of Peru, Jauja in fertile Mantaro Valley was established as Peru's provisional capital, but it was too far up in the mountains, and Pizarro founded the city of Lima on 18 January 1535, which Pizarro considered one of the most important acts in his life.",1
Europe,https://en.wikipedia.org/wiki/History_of_Europe,"The Greeks and the Romans leave a legacy in Europe which be evident in European languages, think, visual arts and law. Ancient Greece be a collection of city-states, out of which the original form of democracy develop. Athens be the most powerful and developed city, and a cradle of learn from the time of Pericles. Citizens' forums debate and legislated policy of the state, and from here arose some of the most notable classical philosophers, such as Socrates, Plato, and Aristotle, the last of whom taught Alexander the Great.",0
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"In the Scottish Enlightenment, Scotland's major cities create an intellectual infrastructure of mutually support institutions such as universities, read societies, libraries, periodicals, museums and masonic lodges.[ 82] The Scottish network be `` predominantly liberal Calvinist, Newtonian, and'design' orient in character which play a major role in the further development of the transatlantic Enlightenment''.[ 83] In France, Voltaire say `` we look to Scotland for all our ideas of civilization. ``[ 84] The focus of the Scottish Enlightenment range from intellectual and economic matters to the specifically scientific as in the work of William Cullen, physician and chemist; James Anderson, an agronomist; Joseph Black, physicist and chemist; and James Hutton, the first modern geologist.[ 16][ 85]",0
Communication,https://en.wikipedia.org/wiki/History_of_communication,"Finally, cuneiform writing become a general purpose write system for logograms, syllables, and numbers. By the 26th century BC, this script have be adapt to another Mesopotamian language, Akkadian, and from there to others such as Hurrian, and Hittite. Scripts similar in appearance to this write system include those for Ugaritic and Old Persian.",0
Geography,https://en.wikipedia.org/wiki/History_of_geography,"Thales of Miletus is one of the first known philosophers known to have wondered about the shape of the world. He proposed that the world was based on water, and that all things grew out of it. He also laid down many of the astronomical and mathematical rules that would allow geography to be studied scientifically. His successor Anaximander is the first person known to have attempted to create a scale map of the known world and to have introduced the gnomon to Ancient Greece.",1
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"The next crucial breakthrough be in 1488, when Bartolomeu Dias round the southern tip of Africa, which he name `` Cape of Storms''( Cabo das Tormentas), anchor at Mossel Bay and then sail east as far as the mouth of the Great Fish River, prove that the Indian Ocean be accessible from the Atlantic. Simultaneously Pêro da Covilhã, send out travel secretly overland, have reach Ethiopia have collect important information about the Red Sea and Quenia coast, suggest that a sea route to the Indies would soon be forthcoming.[ 57] Soon the cape be rename by king John II of Portugal the `` Cape of Good Hope''( Cabo da Boa Esperança), because of the great optimism engender by the possibility of a sea route to India, prove false the view that have exist since Ptolemy that the Indian Ocean be land-locked.",0
History of India,https://en.wikipedia.org/wiki/History_of_India,"The Chittorgarh Fort be the largest in India; it be a symbol for Rajput resistance. Chittorgarh Fort be sack three times during the 15th and 16th centuries by Muslim armies. In 1303 Allauddin Khilji defeat Rana Ratan Singh; in 1535 Bahadur Shah, the Sultanate of Gujarat defeat Bikramjeet Singh; and in 1567 Akbar defeat Maharana Udai Singh II, who leave the fort and found Udaipur. Each time the men fight bravely rush out of the fort walls charge the enemy, but lose. Following these defeats, Jauhar be commit thrice by many of the wives and children of the Rajput soldiers who give their lives in battles at Chittorgarh Fort. The first time, this be lead by Rani Padmini wife of Rana Rattan Singh who be kill in the battle in 1303, and later by Rani Karnavati in 1537.[ 272][ 273][ 274]",0
Scientific Revolution,https://en.wikipedia.org/wiki/Scientific_revolution,"Blaise Pascal( 1623–1662) invent the mechanical calculator in 1642.[ 98] The introduction of his Pascaline in 1645 launch the development of mechanical calculators first in Europe and then all over the world.[ 99][ 100] Gottfried Leibniz( 1646–1716), build on Pascal's work, become one of the most prolific inventors in the field of mechanical calculators; he be the first to describe a pinwheel calculator, in 1685,[ 101] and invent the Leibniz wheel, use in the arithmometer, the first mass-produced mechanical calculator. He also refine the binary number system, foundation of virtually all modern computer architectures.[ 102]",0
History of India,https://en.wikipedia.org/wiki/History_of_India,"The Western Chalukya Empire( Kannada: ಪಶ್ಚಿಮ ಚಾಲುಕ್ಯ ಸಾಮ್ರಾಜ್ಯ) rule most of the western Deccan, South India, between the 10th and 12th centuries.[ 243] Vast areas between the Narmada River in the north and Kaveri River in the south come under Chalukya control.[ 243] During this period the other major rule families of the Deccan, the Hoysalas, the Seuna Yadavas of Devagiri, the Kakatiya dynasty and the Southern Kalachuris, be subordinates of the Western Chalukyas and gain their independence only when the power of the Chalukya wan during the later half of the 12th century.[ 244] The Western Chalukyas develop an architectural style know today as a transitional style, an architectural link between the style of the early Chalukya dynasty and that of the later Hoysala empire. Most of its monuments be in the districts border the Tungabhadra River in central Karnataka. Well known examples be the Kasivisvesvara Temple at Lakkundi, the Mallikarjuna Temple at Kuruvatti, the Kallesvara Temple at Bagali and the Mahadeva Temple at Itagi.[ 245] This be an important period in the development of fine arts in Southern India, especially in literature as the Western Chalukya kings encourage writers in the native language of Kannada, and Sanskrit like the philosopher and statesman Basava and the great mathematician Bhāskara II.[ 246][ 247]",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"During the colonial era, Western influences started to make an impact on Indian art. Some artists developed a style that used Western ideas of composition, perspective and realism to illustrate Indian themes. Others, like Jamini Roy, consciously drew inspiration from folk art.",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"Under Peter I (the Great), Russia was proclaimed an Empire in 1721 and became recognized as a world power. Ruling from 1682 to 1725, Peter defeated Sweden in the Great Northern War, forcing it to cede West Karelia and Ingria (two regions lost by Russia in the Time of Troubles),[62] as well as Estland and Livland, securing Russia's access to the sea and sea trade.[63] On the Baltic Sea Peter founded a new capital called Saint Petersburg, later known as Russia's Window to Europe. Peter the Great's reforms brought considerable Western European cultural influences to Russia. Catherine II (the Great), who ruled in 1762–96, extended Russian political control over the Polish-Lithuanian Commonwealth and incorporated most of its territories into Russia during the Partitions of Poland, pushing the Russian frontier westward into Central Europe. In the south, after successful Russo-Turkish Wars against the Ottoman Empire, Catherine advanced Russia's boundary to the Black Sea, defeating the Crimean khanate.",1
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,"Early Christian thought, in particular in the patristic period, tend to be intuitional and mystical, and be less reliant on reason and logical argument. It also place more emphasis on the sometimes-mystical doctrines of Plato, and less upon the systematic thinking of Aristotle. Much of the work of Aristotle be unknown in the West in this period. Scholars rely on translations by Boethius into Latin of Aristotle's Categories, the logical work On Interpretation, and his Latin translation of Porphyry's Isagoge, a commentary on Aristotle's Categories.",0
Age of Enlightenment,https://en.wikipedia.org/wiki/Age_of_Enlightenment,"The major opponent of Freemasonry be the Roman Catholic Church, so that in countries with a large Catholic element, such as France, Italy, Spain, and Mexico, much of the ferocity of the political battles involve the confrontation between what Davies call the reactionary Church and enlighten Freemasonry.[ 223][ 224] Even in France, Masons do not act as a group.[ 225] American historians, while note that Benjamin Franklin and George Washington be indeed active Masons, have downplay the importance of Freemasonry in cause the American Revolution because the Masonic order be non-political and include both Patriots and their enemy the Loyalists.[ 226]",0
Modern history,https://en.wikipedia.org/wiki/Modern_history,"One common conception of modernity be the condition of Western history since the mid-15th century, or roughly the European development of movable type[ 24] and the printing press.[ 25] In this context the `` modern'' society be say to develop over many periods, and to be influence by important events that represent breaks in the continuity.[ 26][ 27][ 28]",0
Chemical engineering,https://en.wikipedia.org/wiki/History_of_chemical_engineering,"The answer, provide by Arthur D. Little to the president of MIT, be to emphasize the approach chemical engineers take to the design and analysis of processes rather than a process or a product. The concept of Unit operations be develop to emphasize the underlying unity among seemingly different operations. For example, the principles be the same whether one be concern about separate alcohol from water in a fermenter, or separate gasoline from diesel in a refinery, as long as the basis of separation be generation of a vapor of a different composition from the liquid. Therefore, such separation processes can be study together as a unit operation( in this case call distillation). The concept have stand the profession in good stead in its phase of growth, and have even be use to understand the way the human body functions.",0
Modern history,https://en.wikipedia.org/wiki/Modern_history,"In Latin America in the 1970s, leftists acquire a significant political influence which prompt the right-wing, ecclesiastical authorities and a large portion of the individual country's upper class to support coups d'état to avoid what they perceive as a communist threat. This be further fuel by Cuban and United States intervention which lead to a political polarization. Most South American countries be in some periods rule by military dictatorships that be support by the United States of America. In the 1970s, the regimes of the Southern Cone collaborate in Operation Condor kill many leftist dissidents, include some urban guerrillas.[ 119] However, by the early 1990s all countries have restore their democracies.",0
Geography,https://en.wikipedia.org/wiki/History_of_geography,The National Geographic Society be found in the United States in 1888 and begin publication of the National Geographic magazine which become and continue to be a great popularizer of geographic information. The society have long support geographic research and education.,0
Military technology,https://en.wikipedia.org/wiki/Military_technology,"The Defense Advanced Research Projects Agency is an agency of the United States Department of Defense responsible for the development of new technologies for use by the military. DARPA leads the development of military technology in the United States and today, has dozens of ongoing projects; everything from humanoid robots, to bullets that are able to change path before reaching their target. China has a similar agency.",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"In 284 AD, Diocletian be hail as Imperator by the eastern army. Diocletian heal the empire from the crisis, by political and economic shifts. A new form of government be establish: the Tetrarchy. The Empire be divide among four emperors, two in the West and two in the East. The first tetrarchs be Diocletian( in the East), Maximian( in the West), and two junior emperors, Galerius( in the East) and Flavius Constantius( in the West). To adjust the economy, Diocletian make several tax reforms.[ 124]",0
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"Titus have a short-lived rule; he be emperor from 79–81 AD. He finish the Flavian Amphitheater, which be construct with war spoils from the First Jewish-Roman War, and promote games celebrate the victory over the Jews that last for a hundred days. These games include gladiatorial combats, chariot races and a sensational mock naval battle on the flooded grounds of the Colosseum.[ 90][ 91]",0
Antarctica,https://en.wikipedia.org/wiki/History_of_Antarctica,The Heroic Age of Antarctic Exploration began at the end of the 19th century and closed with Ernest Shackleton's Imperial Trans-Antarctic Expedition in 1917.[13],1
Geology,https://en.wikipedia.org/wiki/History_of_geology,"Some of the first geological thoughts be about the origin of the Earth. Ancient Greece develop some primary geological concepts concern the origin of the Earth. Additionally, in the 4th century BC Aristotle make critical observations of the slow rate of geological change. He observe the composition of the land and formulate a theory where the Earth changes at a slow rate and that these changes can not be observe during one person’s lifetime. Aristotle develop one of the first evidentially base concepts connect to the geological realm regard the rate at which the Earth physically change.[ 2][ 3]",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"Thus begin Australia's involvement in the six-year global conflict. Australians be to fight in an extraordinary variety of locations, from withstand the advance of Hitler's Panzers in the Siege of Tobruk; to turn back the advance of the Imperial Japanese Army in the New Guinea Campaign. From bomber missions over Europe and Mediterranean naval engagements, to face Japanese mini-sub raids on Sydney Harbour and devastate air raids on the city of Darwin.[ 312]",0
History of Mesoamerica,https://en.wikipedia.org/wiki/Mesoamerican_chronology,"The Classic Era was dominated by numerous independent city-states in the Maya region and also featured the beginnings of political unity in central Mexico and the Yucatán. Regional differences between cultures grew more manifest. The city-state of Teotihuacan dominated the Valley of Mexico until the early 8th century, but we know little of the political structure of the region because the Teotihuacanos left no written records. The city-state of Monte Albán dominated the Valley of Oaxaca until the late Classic, leaving limited records in their mostly undeciphered script. Highly sophisticated arts such as stuccowork, architecture, sculptural reliefs, mural painting, pottery, and lapidary developed and spread during the Classic era.",1
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"For over a century after Tasman's voyages, until the era of James Cook, Tasmania and New Zealand be not visit by Europeans – mainland Australia be visit, but usually only by accident.",0
Renaissance,https://en.wikipedia.org/wiki/Renaissance,"In 1533, a fourteen-year-old Caterina de' Medici( 1519–1589), bear in Florence to Lorenzo II de' Medici and Madeleine de la Tour d'Auvergne, marry Henry II of France, second son of King Francis I and Queen Claude. Though she become famous and infamous for her role in France's religious wars, she make a direct contribution in bring arts, sciences and music( include the origins of ballet) to the French court from her native Florence.",0
Physics,https://en.wikipedia.org/wiki/History_of_physics,"In 1905 a young, 26-year-old German physicist (then a Bern patent clerk) named Albert Einstein (1879–1955), showed how measurements of time and space are affected by motion between an observer and what is being observed. To say that Einstein's radical theory of relativity revolutionized science is no exaggeration. Although Einstein made many other important contributions to science, the theory of relativity alone represents one of the greatest intellectual achievements of all time. Although the concept of relativity was not introduced by Einstein, his major contribution was the recognition that the speed of light in a vacuum is constant, i.e. the same for all observers, and an absolute physical boundary for motion. This does not impact a person's day-to-day life since most objects travel at speeds much slower than light speed. For objects travelling near light speed, however, the theory of relativity shows that clocks associated with those objects will run more slowly and that the objects shorten in length according to measurements of an observer on Earth. Einstein also derived the famous equation, E = mc2, which expresses the equivalence of mass and energy.",1
In the Middle Ages,https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages,"Further studies, e.g. Jerome Ravetz 1971 Scientific Knowledge and its Social Problems referred to the role of the scientific community, as a social construct, in accepting or rejecting (objective) scientific knowledge.[128] The Science wars of the 1990 were about the influence of especially French philosophers, which denied the objectivity of science in general or seemed to do so. They described as well differences between the idealized model of a pure science and the actual scientific practice; while scientism, a revival of the positivism approach, saw in precise measurement and rigorous calculation the basis for finally settling enduring metaphysical and moral controversies.[129][130] However, more recently some of the leading critical theorists have recognized that their postmodern deconstructions have at times been counter-productive, and are providing intellectual ammunition for reactionary interests. Bruno Latour noted that ""dangerous extremists are using the very same argument of social construction to destroy hard-won evidence that could save our lives. Was I wrong to participate in the invention of this field known as science studies? Is it enough to say that we did not really mean what we meant?""[131]",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"The city of Rome grew from settlements around a ford on the river Tiber, a crossroads of traffic and trade.[12] According to archaeological evidence, the village of Rome was probably founded some time in the 8th century BC, though it may go back as far as the 10th century BC, by members of the Latin tribe of Italy, on the top of the Palatine Hill.[18][19]",1
Theatre,https://en.wikipedia.org/wiki/History_of_theatre,"The term theatre practitioner came to be used to describe someone who both creates theatrical performances and who produces a theoretical discourse that informs their practical work.[80] A theatre practitioner may be a director, a dramatist, an actor, or—characteristically—often a combination of these traditionally separate roles. ""Theatre practice"" describes the collective work that various theatre practitioners do.[81] It is used to describe theatre praxis from Konstantin Stanislavski's development of his 'system', through Vsevolod Meyerhold's biomechanics, Bertolt Brecht's epic and Jerzy Grotowski's poor theatre, down to the present day, with contemporary theatre practitioners including Augusto Boal with his Theatre of the Oppressed, Dario Fo's popular theatre, Eugenio Barba's theatre anthropology and Anne Bogart's viewpoints.[82]",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Around 1.8 million years ago, Homo ergaster first appeared in the fossil record in Africa. From Homo ergaster, Homo erectus evolved 1.5 million years ago. Some of the earlier representatives of this species were still fairly small-brained and used primitive stone tools, much like H. habilis. The brain later grew in size, and H. erectus eventually developed a more complex stone tool technology called the Acheulean. Possibly the first hunters, H. erectus mastered the art of making fire and was the first hominid to leave Africa, colonizing most of Afro-Eurasia and perhaps later giving rise to Homo floresiensis. Although some recent writers suggest that Homo georgicus was the first and most primitive hominid ever to live outside Africa, many scientists consider H. georgicus to be an early and primitive member of the H. erectus species.[7][8]",1
Oceania,https://en.wikipedia.org/wiki/History_of_Oceania,"The first settlements in Fiji were started by voyaging traders and settlers from the west about 5000 years ago. Lapita pottery shards have been found at numerous excavations around the country. Aspects of Fijian culture are similar to the Melanesian culture of the western Pacific but have a stronger connection to the older Polynesian cultures. Across 1,000 kilometres (620 mi) from east to west, Fiji has been a nation of many languages. Fiji's history was one of settlement but also of mobility.",1
Geology,https://en.wikipedia.org/wiki/History_of_geology,"Unfortunately, Wegener provide no convincing mechanism for this drift, and his ideas be not generally accept during his lifetime. Arthur Homes accept Wegener’s theory and provide a mechanism: mantle convection, to cause the continents to move.[ 36] However, it be not until after the Second World War that new evidence start to accumulate that supported continental drift. There follow a period of 20 extremely exciting years where the Theory of Continental Drift develop from be believe by a few to be the cornerstone of modern Geology. Beginning in 1947 research find new evidence about the ocean floor, and in 1960 Bruce C. Heezen publish the concept of mid-ocean ridges.Soon after this, Robert S. Dietz and Harry H. Hess propose that the oceanic crust forms as the seafloor spreads apart along mid-ocean ridges in seafloor spreading.[ 37] This be see as confirmation of mantle convection and so the major stumble block to the theory be remove. Geophysical evidence suggest lateral motion of continents and that oceanic crust be younger than continental crust. This geophysical evidence also spur the hypothesis of paleomagnetism, the record of the orientation of the Earth’s magnetic field record in magnetic minerals. British geophysicist S. K. Runcorn suggest the concept of paleomagnetism from his finding that the continents have move relative to the Earth’s magnetic poles. Tuzo Wilson, who be a promoter of the sea floor spread hypothesis and continental drift from the very beginning,[ 38] add the concept of transform faults to the model, complete the classes of fault types necessary to make the mobility of the plates on the globe function.[ 39] A symposium on continental drift[ 40] be hold at the Royal Society of London in 1965 must be regard as the official start of the acceptance of plate tectonics by the scientific community.The abstracts from the symposium be issue as Blacket, Bullard, Runcorn; 1965.In this symposium, Edward Bullard and co-workers show with a computer calculation how the continents along both sides of the Atlantic would best fit to close the ocean, which become know as the famous `` Bullard's Fit''. By the late 1960s the weight of the evidence available saw Continental Drift as the generally accept theory.",0
Stone Age,https://en.wikipedia.org/wiki/Stone_Age,"The most immediate cause of the new adjustments appear to have be an increase aridity in the region and consequent contraction of parkland savanna, intersperse with trees and groves, in favor of open grassland, date 1.8–1.7 mya. During that transitional period the percentage of grazers among the fossil species increase from 15–25% to 45%, disperse the food supply and require a facility among the hunters to travel longer distances comfortably, which H. erectus obviously have.[ 33] The ultimate proof be the `` dispersal'' of H. erectus `` across much of Africa and Asia, substantially before the development of the Mode 2 technology and use of fire ....''[ 32] H. erectus carry Mode 1 tools over Eurasia.",0
Film,https://en.wikipedia.org/wiki/History_of_film,"There be also an increase awareness of foreign language cinema in America during this period. During the late 1950s and 1960s, the French New Wave directors such as François Truffaut and Jean-Luc Godard produce films such as Les quatre cents coups, Breathless and Jules et Jim which break the rules of Hollywood cinema's narrative structure. As well, audiences be become aware of Italian films like Federico Fellini's La Dolce Vita and the stark dramas of Sweden's Ingmar Bergman.",0
